,0
611,47.0
612,90.0
613,790.0
614,4.0
615,66.0
616,2.0
617,239.0
618,9.0
619,19.0
620,31.0
621,303.0
622,54.0
623,9.0
624,6.0
625,266.0
626,23.0
627,285.0
628,2.0
629,16.0
630,1223.0
631,227.0
632,158.0
633,31.0
634,33.0
635,21.0
636,61.0
637,122.0
638,9.0
639,31.0
640,1.0
641,74.0
642,9.0
643,95.0
644,12.0
645,6.0
646,1.0
647,2.0
648,20.0
649,7.0
650,64.0
651,14.0
652,16.0
653,3.0
654,9.0
655,2.0
656,64.0
657,1.0
658,42.0
659,14.0
660,4.0
661,4.0
662,44.0
663,9.0
664,93.0
665,20.0
666,37.0
667,8.0
668,5.0
669,1.0
670,3.0
671,6.0
672,4.0
673,4.0
674,177.0
675,16.0
676,20.0
677,72.0
678,93.0
679,1.0
680,107.0
681,1912.0
682,7.0
683,34.0
684,5.0
685,10.0
686,29.0
687,794.0
688,764.0
689,6.0
690,6.0
691,13.0
692,21.0
693,11.0
694,11.0
695,10.0
696,13.0
697,11.0
698,11.0
699,11.0
700,34.0
701,1170.0
702,7.0
703,8.0
704,8.0
705,12.0
706,11.0
707,8.0
708,9.0
709,8.0
710,14.0
711,12.0
712,7.0
713,10.0
714,3.0
715,9.0
716,8.0
717,9.0
718,9.0
719,34.0
720,288.0
721,256.0
722,21.0
723,33.0
724,146.0
725,392.0
726,28.0
727,620.0
728,9.0
729,250.0
730,114.0
731,26.0
732,573.0
733,12.0
734,255.0
735,20.0
736,230.0
737,338.0
738,12.0
739,250.0
740,1762.0
741,38.0
742,8.0
743,17.0
744,1394.0
745,2341.0
746,42.0
747,29.0
748,111.0
749,35.0
750,631.0
751,680.0
752,906.0
753,13.0
754,4.0
755,4.0
756,361.0
757,305.0
758,1137.0
759,2341.0
760,1.0
761,30.0
762,16.0
763,41.0
764,29.0
765,10.0
766,102.0
767,2.0
768,14.0
769,2.0
770,1.0
771,15.0
772,1.0
773,4.0
774,16.0
775,53.0
776,23.0
777,22.0
778,21.0
779,55.0
780,514.0
781,243.0
782,6.0
783,277.0
784,11.0
785,3.0
786,2.0
787,1457.0
788,460.0
789,913.0
790,4.0
791,2.0
792,2.0
793,2.0
794,2.0
795,2.0
796,182.0
797,96.0
798,6.0
799,7.0
800,1.0
801,27.0
802,40.0
803,41.0
804,56.0
805,96.0
806,59.0
807,13.0
808,16.0
809,16.0
810,9.0
811,35.0
812,11.0
813,46.0
814,40.0
815,28.0
816,67.0
817,26.0
818,7.0
819,26.0
820,71.0
821,117.0
822,51.0
823,3.0
824,1.0
825,21.0
826,110.0
827,1.0
828,1.0
829,78.0
830,3.0
831,1.0
832,34.0
833,20.0
834,151.0
835,1219.0
836,38.0
837,2450.0
838,2608.0
839,3.0
840,1448.0
841,29.0
842,7.0
843,8.0
844,32.0
845,20.0
846,10.0
847,13.0
848,15.0
849,14.0
850,16.0
851,15.0
852,10.0
853,133.0
854,35.0
855,20.0
856,11.0
857,19.0
858,14.0
859,16.0
860,256.0
861,40.0
862,5.0
863,23.0
864,12.0
865,3.0
866,1836.0
867,3.0
868,2.0
869,7.0
870,3.0
871,123.0
872,1.0
873,2.0
874,2.0
875,17.0
876,4.0
877,4.0
878,4.0
879,12.0
880,37.0
881,1.0
882,66.0
883,75.0
884,5.0
885,6.0
886,5.0
887,3.0
888,12.0
889,4.0
890,32.0
891,9.0
892,9.0
893,13.0
894,6.0
895,44.0
896,6.0
897,75.0
898,5.0
899,37.0
900,1.0
901,3.0
902,28.0
903,1.0
904,19.0
905,1.0
906,4.0
907,6.0
908,9.0
909,1.0
910,35.0
911,1.0
912,33.0
913,2.0
914,17.0
915,6.0
916,6.0
917,542.0
918,6.0
919,1.0
920,14.0
921,23.0
922,447.0
923,574.0
924,167.0
925,32.0
926,138.0
927,41.0
928,753.0
929,97.0
930,11.0
931,108.0
932,54.0
933,7.0
934,65.0
935,134.0
936,109.0
937,2132.0
938,2131.0
939,32.0
940,187.0
941,7.0
942,4.0
943,4.0
944,27.0
945,8.0
946,1.0
947,4.0
948,15.0
949,21.0
950,19.0
951,13.0
952,14.0
953,23.0
954,6.0
955,18.0
956,37.0
957,7.0
958,9.0
959,4.0
960,1.0
961,5.0
962,13.0
963,1.0
964,2.0
965,1.0
966,1.0
967,3.0
968,2.0
969,4.0
970,1.0
971,3.0
972,2.0
973,9.0
974,1.0
975,18.0
976,2.0
977,3.0
978,5.0
979,3.0
980,31.0
981,87.0
982,2.0
983,23.0
984,4.0
985,3.0
986,51.0
987,350.0
988,125.0
989,118.0
990,1.0
991,5.0
992,180.0
993,1.0
994,21.0
995,190.0
996,183.0
997,3.0
998,1.0
999,6.0
1000,1.0
1001,21.0
1002,1618.0
1003,1.0
1004,2.0
1005,6.0
1006,1.0
1007,2.0
1008,1.0
1009,38.0
1010,13.0
1011,25.0
1012,1.0
1013,1.0
1014,1.0
1015,10.0
1016,231.0
1017,2.0
1018,1.0
1019,2.0
1020,607.0
1021,120.0
1022,130.0
1023,82.0
1024,6.0
1025,11.0
1026,167.0
1027,49.0
1028,14.0
1029,20.0
1030,33.0
1031,85.0
1032,41.0
1033,308.0
1034,109.0
1035,11.0
1036,20.0
1037,120.0
1038,167.0
1039,49.0
1040,51.0
1041,123.0
1042,205.0
1043,12.0
1044,23.0
1045,43.0
1046,1020.0
1047,846.0
1048,1.0
1049,366.0
1050,40.0
1051,31.0
1052,92.0
1053,52.0
1054,3.0
1055,15.0
1056,302.0
1057,75.0
1058,36.0
1059,3.0
1060,11.0
1061,1576.0
1062,42.0
1063,86.0
1064,1416.0
1065,615.0
1066,273.0
1067,121.0
1068,14.0
1069,62.0
1070,1043.0
1071,45.0
1072,84.0
1073,404.0
1074,207.0
1075,70.0
1076,539.0
